Country Name,Country Code,Series Name,Series Code,2002 [YR2002]
Afghanistan,AFG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,331.54
Afghanistan,AFG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,282.338
Africa Eastern and Southern,AFE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,438.927030657566
Africa Eastern and Southern,AFE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,379.39752605872
Africa Western and Central,AFW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,386.787667005518
Africa Western and Central,AFW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,346.615116000477
Albania,ALB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,107.491
Albania,ALB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,56.949
Algeria,DZA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,147.159
Algeria,DZA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,115.008
American Samoa,ASM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
American Samoa,ASM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Andorra,AND,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Andorra,AND,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Angola,AGO,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,454.962
Angola,AGO,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,348.413
Antigua and Barbuda,ATG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,150.197
Antigua and Barbuda,ATG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,88.35
Arab World,ARB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,205.346198643372
Arab World,ARB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,146.940258105647
Argentina,ARG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,174.967
Argentina,ARG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,95.58
Armenia,ARM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,218.658
Armenia,ARM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,96.961
Aruba,ABW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,166.186
Aruba,ABW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,83.823
Australia,AUS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,90.801
Australia,AUS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,53.059
Austria,AUT,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,120.026
Austria,AUT,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,58.829
Azerbaijan,AZE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,258.787
Azerbaijan,AZE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,124.554
"Bahamas, The",BHS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,238.087
"Bahamas, The",BHS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,140.426
Bahrain,BHR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,105.484
Bahrain,BHR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,79.281
Bangladesh,BGD,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,185.6
Bangladesh,BGD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,155.796
Barbados,BRB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,162.735
Barbados,BRB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,99.83
Belarus,BLR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,383.421
Belarus,BLR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,137.368
Belgium,BEL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,124.715
Belgium,BEL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,66.905
Belize,BLZ,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,256.73
Belize,BLZ,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,165.588
Benin,BEN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,305.086
Benin,BEN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,258.765
Bermuda,BMU,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,110.416
Bermuda,BMU,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,65.517
Bhutan,BTN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,242.673
Bhutan,BTN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,197.341
Bolivia,BOL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,258.73
Bolivia,BOL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,179.223
Bosnia and Herzegovina,BIH,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,155.042
Bosnia and Herzegovina,BIH,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,79.721
Botswana,BWA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,618.624
Botswana,BWA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,532.133
Brazil,BRA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,227.348
Brazil,BRA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,115.572
British Virgin Islands,VGB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,123.741
British Virgin Islands,VGB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,85.543
Brunei Darussalam,BRN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,154.119
Brunei Darussalam,BRN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,106.505
Bulgaria,BGR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,218.165
Bulgaria,BGR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,93.926
Burkina Faso,BFA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,365.523
Burkina Faso,BFA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,295.917
Burundi,BDI,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,436.177
Burundi,BDI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,353.989
Cabo Verde,CPV,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,239.94
Cabo Verde,CPV,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,122.703
Cambodia,KHM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,284.663
Cambodia,KHM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,218.723
Cameroon,CMR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,391.114
Cameroon,CMR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,342.096
Canada,CAN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,96.835
Canada,CAN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,59.492
Caribbean small states,CSS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,265.804585229889
Caribbean small states,CSS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,166.695862787114
Cayman Islands,CYM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,..
Cayman Islands,CYM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,..
Central African Republic,CAF,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,559.382
Central African Republic,CAF,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,525.764
Central Europe and the Baltics,CEB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,221.38922594975
Central Europe and the Baltics,CEB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,91.0499448311479
Chad,TCD,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,411.054
Chad,TCD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,374.774
Channel Islands,CHI,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,81.591
Channel Islands,CHI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,51.882
Chile,CHL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,134.721
Chile,CHL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,66.832
China,CHN,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,143.119
China,CHN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,81.579
Colombia,COL,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,219.658
Colombia,COL,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,95.669
Comoros,COM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,304.255
Comoros,COM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,250.744
"Congo, Dem. Rep.",COD,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,374.11
"Congo, Dem. Rep.",COD,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,304.652
"Congo, Rep.",COG,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,386.864
"Congo, Rep.",COG,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,380.562
Costa Rica,CRI,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,113.194
Costa Rica,CRI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,62.167
Cote d'Ivoire,CIV,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,456.337
Cote d'Ivoire,CIV,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,436.97
Croatia,HRV,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,176.413
Croatia,HRV,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,69.138
Cuba,CUB,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,142.427
Cuba,CUB,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,92.955
Curacao,CUW,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,160.719
Curacao,CUW,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,90.915
Cyprus,CYP,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,109.878
Cyprus,CYP,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,65.394
Czechia,CZE,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,164.947
Czechia,CZE,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,72.549
Denmark,DNK,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,124.075
Denmark,DNK,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,75.793
Djibouti,DJI,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,334.731
Djibouti,DJI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,284.985
Dominica,DMA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,192.673
Dominica,DMA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,109.422
Dominican Republic,DOM,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,233.165
Dominican Republic,DOM,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,150.455
Early-demographic dividend,EAR,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,235.886758715958
Early-demographic dividend,EAR,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,176.227325085936
East Asia & Pacific,EAS,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,159.168916261192
East Asia & Pacific,EAS,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,96.2925818069194
East Asia & Pacific (excluding high income),EAP,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,165.394013196246
East Asia & Pacific (excluding high income),EAP,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,101.997839664482
East Asia & Pacific (IDA & IBRD countries),TEA,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,164.148202400595
East Asia & Pacific (IDA & IBRD countries),TEA,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,100.980544223276
Ecuador,ECU,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,187.344
Ecuador,ECU,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,108.951
"Egypt, Arab Rep.",EGY,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,219.834
"Egypt, Arab Rep.",EGY,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,142.43
El Salvador,SLV,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,301.081
El Salvador,SLV,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,128.378
Equatorial Guinea,GNQ,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,352.223
Equatorial Guinea,GNQ,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,295.765
Eritrea,ERI,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,329.118
Eritrea,ERI,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,277.362
Estonia,EST,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,312.834
Estonia,EST,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,110.566
Eswatini,SWZ,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,721.128
Eswatini,SWZ,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,617.647
Ethiopia,ETH,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,391.491
Ethiopia,ETH,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,364.688
